"","Artibeus lituratus","Platyrrhinus dorsalis","Sturnira bogotensis"
"Anthurium Bolanos-Silva2000.unidsp.509",0,0,1
"Barnadesia spinosa",0,0,1
"Cavendishia Bolanos-Silva2000.unidsp.389",1,1,1
"Drimys Bolanos-Silva2000.unidsp.81",0,0,1
"Miconia Bolanos-Silva2000.unidsp.249",1,1,0
"Siparuna Bolanos-Silva2000.unidsp.716",0,0,1
