"","Dumetella carolinensis","Hylocichla mustelina","Icterus galbula","Megarynchus pitangua","Myiarchus crinitus","Myiozetetes similis","Pachyramphus aglaiae","Pitangus sulphuratus","Thraupis episcopus","Tityra semifasciata","Turdus grayi","Tyrannus melancholicus","Vireo griseus","Vireo solitarius"
"Bursera fagaroides",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bursera simaruba",1,0,8,0,2,5,3,0,0,10,0,2,1,0
"Chiococca alba",3,0,0,0,0,0,0,0,0,0,0,0,3,0
"Crossopetalum uragoga",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros acapulcensis subsp. verae-crucis",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nectandra salicifolia",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paullinia tomentosa",0,0,0,0,0,0,0,0,0,0,1,0,3,0
"Psittacanthus calyculatus",0,0,0,0,0,5,0,1,1,0,0,0,0,0
"Rhamnus humboldtiana",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rourea glabra",0,0,0,3,0,0,0,1,0,2,0,0,0,0
"Smilax aristolochiifolia",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Trichilia hirta",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Unidentified Ramos-Robles2016.unidsp.30",9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Ramos-Robles2016.unidsp.31",0,0,0,0,0,0,0,0,0,0,0,0,0,1
