"","Capreolus capreolus","Martes Peredo2013.unidsp.428","Meles meles","Sus scrofa","Vulpes vulpes"
"Crataegus monogyna",0,6,0,3,7
"Ilex aquifolium",0,0,0,1,0
"Malus sylvestris",0,0,1,103,6
"Prunus avium",0,0,0,8,0
"Rosa Peredo2013.unidsp.356",0,123,0,0,1
"Rubus Peredo2013.unidsp.81",17,1138,6301,12796,13192
