"","Bycanistes subcylindricus","Cercopithecus ascanius","Cercopithecus mitis","Lophocebus albigena","Pan troglodytes","Psittacus erithacus","Sciuridae Chapman1996.unidsp.mult","Tauraco schuetti","Unidentified Chapman1996.unidsp.mult"
"Balanites wilsoniana",0,0,0,0,0,0,1,0,0
"Mimusops bagshawei",1,1,1,1,1,0,0,1,1
"Parinari excelsa",0,1,1,1,0,0,0,1,1
"Pseudospondias microcarpa",1,1,0,1,1,1,1,1,1
"Uvariopsis congensis",0,1,1,1,0,0,0,0,0
