"","Aratinga nana","Dumetella carolinensis","Icterus galbula","Megarynchus pitangua","Melanerpes aurifrons","Myiarchus crinitus","Myiarchus tuberculifer","Myiozetetes similis","Ortalis vetula","Pheucticus ludovicianus","Pitangus sulphuratus","Psilorhinus morio","Tityra semifasciata","Tyrannus forficatus","Vireo philadelphicus"
"Bursera simaruba",29,0,1,6,7,1,1,5,0,2,2,0,4,3,1
"Casearia corymbosa",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crateva tapia",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Nectandra salicifolia",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Psychotria erythrocarpa",0,23,0,0,0,0,0,0,4,0,0,0,0,0,0
"Unidentified Ramos-Robles2016.unidsp.39",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
