"","Artibeus jamaicensis","Carollia sowelli","Sturnira hondurensis"
"Hedyosmum mexicanum",0,0,2
"Piper auritum",0,0,2
"Piper hispidum",1,5,11
"Piper lapathifolium",0,0,7
"Solanaceae Hernandez-Montero2015.unidsp.1",0,0,1
"Solanum aphyodendron",0,1,6
"Solanum schlechtendalianum",0,0,3
