"","Erithacus rubecula","Garrulus glandarius","Hippolais polyglotta","Passer montanus","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos"
"Cyperaceae Cruz2013.unidsp.1",0,0,0,0,0,0,0,1
"Phytolacca americana",0,0,0,0,12,1,0,1
"Poa annua",0,0,0,1,0,0,0,0
"Poaceae Cruz2013.unidsp.1",0,0,0,0,0,0,1,0
"Rosaceae Cruz2013.unidsp.1",0,0,1,0,4,0,0,0
"Rubus ulmifolius",3,1,0,0,12,1,1,0
"Sambucus nigra",0,0,0,0,10,0,0,3
"Smilax aspera",0,0,0,0,2,0,0,0
"Solanum americanum",0,0,0,0,2,0,0,0
