"","Arizelocichla masukuensis","Baeopogon indicator","Buccanodon duchaillui","Bycanistes subcylindricus","Campephaga phoenicea","Cercopithecus ascanius","Cercopithecus mitis","Chlorocichla laetissima","Cinnyricinclus leucogaster","Colius striatus","Colobus guereza","Crithagra citrinelloides","Crithagra mozambica","Dendropicos fuscescens","Dioptrornis fischeri","Elminia longicauda","Eurillas curvirostris","Eurillas gracilis","Eurillas latirostris","Gymnobucco bonapartei","Iduna pallida","Muscicapa adusta","Musophaga rossae","Phyllastrephus cabanisi","Phyllastrephus hypochloris","Phylloscopus trochilus","Ploceus baglafecht","Ploceus insignis","Poeoptera stuhlmanni","Pogoniulus bilineatus","Pycnonotus barbatus","Stelgidillas gracilirostris","Sylvia borin","Trachylaemus purpuratus","Treron calvus","Tricholaema hirsuta","Turdus abyssinicus","Turdus pelios","Zosterops senegalensis"
"Antiaris toxicaria",0,0,0,2,1,1,2,4,0,67,2,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,2,0,1,0,40,0,0,0,0,0,0,1,7
"Bridelia micrantha",0,0,0,2,0,0,0,0,26,18,0,1,2,0,1,0,0,0,19,39,3,0,1,1,0,1,2,0,0,0,64,0,0,0,2,0,0,2,6
"Ficus lutea",0,0,23,11,0,1,13,1,22,2,0,25,17,4,0,3,0,0,1,13,16,1,0,0,0,13,0,1,6,1,33,0,1,0,12,1,0,2,46
"Ficus thonningii",0,0,10,0,0,8,22,9,7,0,14,0,0,0,0,0,0,1,9,3,5,0,0,0,0,4,0,0,0,0,72,1,0,1,0,1,0,1,5
"Harungana madagascariensis",2,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,1,0,19,6,9,0,0,1,3,0,0,0,0,3,97,5,0,0,0,0,0,1,39
"Polyscias fulva",0,2,2,0,0,0,6,0,0,0,4,0,0,0,0,0,1,1,7,0,7,0,0,0,0,9,0,0,0,0,35,2,0,2,0,0,0,7,8
"Prunus africana",0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,2,0,5
"Trilepisium madagascariense",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
