"","Andigena hypoglauca","Anisognathus igniventris","Buthraupis montana","Cacicus chrysonotus","Chlorornis riefferii","Diglossa cyanea","Elaenia pallatangae","Iridosornis jelskii","Patagioenas fasciata","Penelope montagnii","Pipreola arcuata","Pipreola intermedia","Tangara vassorii","Thraupis cyanocephala","Turdus fuscater","Turdus serranus"
"Cavendishia bracteata",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"Dendrophthora chrysostachya",0,0,2,0,0,2,0,0,0,0,0,0,1,2,0,0
"Dendrophthora densifolia",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Dendrophthora rotundata",0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"Disterigma ovatum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Freziera karsteniana",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Gaultheria bracteata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaultheria buxifolia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum cuatrecazanum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Licaria Dehling2017.unidsp.853",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligaria cuneifolia",0,0,1,0,16,0,0,0,1,0,2,0,0,0,0,0
"Miconia denticulata",0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Miconia media",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Monnina marginata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Morella pubescens",0,1,19,10,0,0,1,0,0,0,0,0,0,1,0,1
"Muehlenbeckia tamnifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Myrsine coriacea",0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,1
"Myrteola phylicoides",0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,0
"Palicourea stipularis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Podocarpus oleifolius",0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0
"Prunus integrifolia",6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
"Schefflera Dehling2017.unidsp.2",1,0,32,12,12,0,0,0,0,0,0,0,10,2,0,0
"Schefflera penelope",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smilax domingensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
