"","Dendrocopos major","Erithacus rubecula","Fringilla coelebs","Parus major","Poecile palustris","Sitta europaea","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos"
"Euonymus europaeus",0,0,0,1,0,0,0,0,0,0
"Euonymus verrucosus",0,1,0,0,0,0,0,0,0,0
"Frangula alnus",0,24,0,1,2,23,164,6,13,7
"Prunus padus",3,6,2,2,0,2,77,2,328,8
"Rhamnus cathartica",0,0,0,0,2,0,21,0,9,0
"Ribes nigrum",0,0,0,0,0,0,13,0,0,0
"Sorbus aucuparia",0,2,0,0,1,0,2,0,25,0
"Viburnum opulus",0,2,0,0,1,0,0,0,0,0
