"","Columba leucomela","Lopholaimus antarcticus","Macropygia amboinensis","Ptilinopus magnificus","Ptilinopus regina"
"Acacia melanoxylon",0,0,1,0,0
"Archontophoenix cunninghamiana",0,1,0,1,1
"Cayratia eurynema",0,1,1,1,1
"Cinnamomum oliveri",1,0,0,0,0
"Cissus antarctica",0,1,0,1,1
"Cissus hypoglauca",0,1,0,0,0
"Claoxylon australe",0,0,1,0,0
"Cryptocarya cunninghamii",0,1,0,1,1
"Cryptocarya erythroxylon",0,1,0,1,0
"Cryptocarya obovata",0,1,0,1,1
"Diospyros pentamera",0,1,0,1,1
"Diploglottis cunninghamii",0,1,1,1,1
"Ehretia acuminata",0,0,1,1,1
"Elaeocarpus angustifolius",0,1,0,1,1
"Elaeocarpus kirtonii",0,1,0,1,1
"Endiandra discolor",0,1,0,1,0
"Ficus obliqua",0,1,0,1,1
"Ficus superba",0,1,0,1,1
"Ficus watkinsiana",0,1,0,1,0
"Galbulimima belgraveana",0,1,0,1,0
"Geitonoplesium cymosum",0,0,0,0,1
"Hibbertia scandens",0,0,1,0,0
"Homalanthus populifolius",0,0,1,0,0
"Morinda jasminoides",0,0,1,0,0
"Neolitsea dealbata",1,0,0,1,1
"Nothocissus sterculiifolia",0,1,0,1,1
"Pennantia cunninghamii",0,0,1,1,0
"Phytolacca octandra",0,0,1,0,0
"Piper novae-hollandiae",1,1,0,1,1
"Polyscias elegans",0,0,1,0,0
"Polyscias murrayi",0,0,1,0,0
"Pothos longipes",0,0,1,0,0
"Rubus moorei",0,0,1,1,0
"Sarcomelicope simplicifolia",1,0,0,0,0
"Schizomeria ovata",0,0,0,0,1
"Sloanea woollsii",0,1,1,1,1
"Solanum mauritianum",0,0,1,0,0
"Streblus pendulinus",0,0,1,0,0
"Tetrastigma nitens",0,0,0,1,1
"Trema aspera",0,0,1,0,0
"Unknown Innis1989.unidsp.1",0,0,0,0,1
