"","Hylobates lar","Macaca fascicularis","Pongo pygmaeus","Presbytis thomasi"
"Acacia pennata",0,4,0,8
"Aglaia korthalsii",13,3,3,0
"Aglaia odoratissima",90,35,29,12
"Aglaia Ungar1995.unidsp.387",0,1,0,6
"Albizia chinensis",0,0,0,2
"Antidesma montanum",0,8,0,0
"Aporosa frutescens",1,0,0,0
"Artocarpus elasticus",0,0,3,0
"Artocarpus Ungar1995.unidsp.877",1,0,0,0
"Baccaurea deflexa",0,5,1,0
"Baccaurea Ungar1995.unidsp.766",0,0,0,2
"Balakata baccata",6,1,1,1
"Bischofia javanica",11,6,3,0
"Blumeodendron tokbrai",1,0,0,1
"Calophyllum calaba var. bracteatum",3,0,1,0
"Cananga odorata",0,5,2,0
"Carallia brachiata",4,6,0,0
"Cissus nodosa",2,1,2,2
"Citrus Ungar1995.unidsp.1",0,0,0,2
"Citrus Ungar1995.unidsp.2",0,0,0,1
"Clausena engleri",0,0,0,6
"Cnestis palala",0,0,0,7
"Cratoxylum sumatranum",0,5,0,0
"Cyathocalyx sumatranus",1,11,9,0
"Dendrocnide sinuata",0,12,0,0
"Dendrocnide stimulans",0,5,1,0
"Dracontomelon dao",1,0,2,0
"Dysoxylum Ungar1995.unidsp.1",0,0,0,32
"Dysoxylum Ungar1995.unidsp.2",0,0,0,2
"Dysoxylum Ungar1995.unidsp.3",1,0,0,0
"Elaeocarpus glaber",4,1,0,0
"Elattostachys Ungar1995.unidsp.477",0,0,8,0
"Eugenia Ungar1995.unidsp.1",1,0,0,0
"Eugenia Ungar1995.unidsp.2",0,0,5,7
"Eugenia Ungar1995.unidsp.3",4,2,0,1
"Euphorbiaceae Ungar1995.unidsp.1",0,3,0,1
"Ficus altissima",12,1,1,0
"Ficus annulata",7,1,0,2
"Ficus benjamina",8,2,18,0
"Ficus crassiramea subsp. stupenda",0,0,3,0
"Ficus drupacea",17,18,24,0
"Ficus glandulifera",1,1,0,11
"Ficus obscura",1,3,1,0
"Ficus racemosa",7,21,2,0
"Ficus schwarzii",0,0,1,7
"Ficus stricta",23,9,0,0
"Ficus subulata",6,1,3,1
"Ficus sumatrana",53,11,10,3
"Ficus Ungar1995.unidsp.1",1,5,1,1
"Ficus Ungar1995.unidsp.2",1,3,4,0
"Ficus Ungar1995.unidsp.3",6,0,10,0
"Ficus Ungar1995.unidsp.4",16,0,0,0
"Ficus variegata",1,0,0,2
"Ficus virens",7,7,2,0
"Garcinia dioica",3,0,4,0
"Garcinia Ungar1995.unidsp.1",8,3,3,0
"Garcinia Ungar1995.unidsp.2",2,2,8,0
"Gnetum latifolium",2,4,20,17
"Iodes ovalis",5,0,0,0
"Knema laurina",0,0,0,1
"Lansium parasiticum",0,1,1,0
"Lauraceae Ungar1995.unidsp.17",0,0,0,5
"Leea Ungar1995.unidsp.844",0,1,0,0
"Litsea robusta",0,0,0,4
"Macaranga diepenhorstii",0,10,0,0
"Macaranga tanarius",1,34,0,0
"Mallotus sphaerocarpus",11,0,11,2
"Mastixia trichotoma",2,5,7,5
"Memecylon costatum",0,0,0,14
"Micromelum pubescens",1,10,0,5
"Mitrephora Ungar1995.unidsp.401",0,0,0,1
"Nephelium lappaceum",0,0,0,3
"Nothocnide repanda",0,1,0,0
"Oreocnide rubescens",0,1,0,0
"Osmelia maingayi",0,0,0,2
"Paranephelium Ungar1995.unidsp.1",0,0,0,1
"Paranephelium Ungar1995.unidsp.2",0,0,2,0
"Parkia intermedia",0,0,1,0
"Phoebe grandis",0,1,0,0
"Phoebe lanceolata",0,2,0,0
"Picrasma javanica",0,1,0,1
"Piper caninum",0,0,1,0
"Piper miniatum",1,2,0,0
"Planchonia valida",0,0,0,1
"Pterospermum javanicum",0,0,1,0
"Pycnarrhena cauliflora",7,12,0,0
"Quercus Ungar1995.unidsp.327",0,0,6,6
"Rubus glomeratus",2,0,0,0
"Salix Ungar1995.unidsp.368",0,0,0,1
"Scindapsus hederaceus",0,6,0,0
"Scolopia macrophylla",0,0,0,2
"Scorodocarpus borneensis",0,2,0,10
"Siphonodon celastrineus",0,0,2,1
