"","Artibeus planirostris","Carollia perspicillata","Glossophaga soricina","Platyrrhinus lineatus","Sturnira lilium"
"Cecropia pachystachya",9,0,0,3,0
"Ficus Bordignon2017.unidsp.mult",6,1,2,1,2
"Piper arboreum",5,0,0,0,0
