"","Baeolophus bicolor","Dumetella carolinensis","Empidonax alnorum","Empidonax minimus","Hylocichla mustelina","Icterus galbula","Leiothlypis celata","Melanerpes carolinus","Mimus polyglottos","Myiarchus crinitus","Picoides pubescens","Piranga olivacea","Piranga rubra","Quiscalus quiscula","Sturnus vulgaris","Toxostoma rufum","Turdus migratorius","Tyrannus tyrannus","Vireo gilvus","Vireo griseus","Vireo olivaceus","Vireo philadelphicus"
"Aralia spinosa",0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"Phytolacca americana",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
"Prunus serotina",1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0
"Sassafras albidum",0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"Vitis cinerea",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
