"","Coccothraustes coccothraustes","Dendrocopos major","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Garrulus glandarius","Martes martes","Muscicapa striata","Oriolus oriolus","Parus major","Periparus ater","Phylloscopus trochilus","Poecile palustris","Sitta europaea","Sylvia atricapilla","Sylvia borin","Turdus iliacus","Turdus merula","Turdus philomelos"
"Prunus padus",437,3,6,0,1,3,0,4,3,7,1,0,0,8,90,0,2,690,27
"Ribes nigrum",0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,2,0,24,1
"Ribes spicatum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,39,0
"Rubus idaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0
"Sorbus aucuparia",169,4,3,2,0,5,20,0,0,0,0,1,1,0,22,1,0,33,0
"Viburnum opulus",0,0,1,0,0,0,0,0,0,1,0,0,1,0,7,1,0,0,0
