"","Artibeus jamaicensis","Artibeus lituratus","Carollia brevicauda","Carollia perspicillata"
"Aechmea tillandsioides",0,0,0,1
"Cecropia angustifolia",1,1,0,0
"Ficus Lozano-Rios2013.unidsp.989",0,1,0,1
"Piper Lozano-Rios2013.unidsp.2",0,0,1,1
"Piper Lozano-Rios2013.unidsp.3",0,0,0,1
"Piper Lozano-Rios2013.unidsp.4",0,0,0,1
