"","Leiothrix lutea","Myadestes obscurus","Zosterops japonicus"
"Cheirodendron trigynum",1.8,20.1,6.2
"Ilex anomala",0,34,0
"Perrottetia sandwicensis",0.3,0,0.6
"Psychotria Pejchar2015.unidsp.mult",0,6.9,0
"Rubus hawaiensis",22.7,14.6,85.9
"Rubus rosifolius",5.7,0,2.8
"Styphelia tameiameiae",0,2.1,0
"Vaccinium calycinum",69.4,22.2,4.5
