"","Cyanoramphus novaezelandiae","Mohoua albicilla","Notiomystis cincta","Philesturnus carunculatus","Prosthemadera novaeseelandiae","Turdus merula","Zosterops lateralis"
"Aristotelia serrata",0,0,0,0,2,0,2
"Coprosma grandifolia",1,1,0,4,6,5,3
"Coprosma repens",0,0,0,0,3,0,0
"Coprosma robusta",0,1,0,1,8,1,1
"Fuchsia excorticata",0,0,0,0,1,1,1
"Geniostoma rupestre",0,0,0,0,1,0,1
"Melicytus ramiflorus",4,2,9,0,8,7,9
"Myoporum laetum",0,0,0,0,6,8,1
"Neopanax arboreus",0,1,1,0,3,1,11
"Piper excelsum",0,0,1,0,3,2,0
"Rhipogonum scandens",0,0,0,0,0,1,0
"Schefflera digitata",0,0,0,0,1,0,0
