"","Erithacus rubecula","Sylvia atricapilla","Sylvia melanocephala","Turdus merula"
"Ardisia excelsa",1,1,1,1
"Asparagus plocamoides",0,1,0,0
"Jasminum odoratissimum",0,1,0,0
"Opuntia Gonzalez-Castro2012.unidsp.14",0,1,1,0
"Pistacia atlantica",0,1,0,0
