"","Artibeus bogotensis","Artibeus lituratus","Enchisthenes hartii","Platyrrhinus dorsalis","Sturnira bogotensis","Sturnira ludovici"
"Anthurium Perez-Torres2004.unidsp.379",0,0,0,0,1,1
"Barnadesia spinosa",0,0,0,0,0,1
"Cavendishia Perez-Torres2004.unidsp.828",1,1,1,1,1,1
"Drimys Perez-Torres2004.unidsp.865",0,0,0,0,1,1
"Fuchsia Perez-Torres2004.unidsp.445",1,0,0,0,0,0
"Hesperomeles Perez-Torres2004.unidsp.815",0,0,0,0,1,0
"Miconia Perez-Torres2004.unidsp.172",1,1,0,1,0,0
"Schefflera Perez-Torres2004.unidsp.226",1,0,0,0,0,0
"Siparuna Perez-Torres2004.unidsp.676",0,0,0,0,1,0
