"","Aburria cumanensis","Alouatta seniculus","Amazona farinosa","Amazona ochrocephala","Ara macao","Ara severus","Aratinga leucophthalma","Ateles belzebuth","Aves Stevenson2015.unidsp.mult","Baryphthengus martii","Brotogeris cyanoptera","Cacicus cela","Cacicus haemorrhous","Cacicus solitarius","Campephilus melanoleucos","Capito auratus","Catharus ustulatus","Celeus elegans","Celeus flavus","Celeus grammicus","Chlorophanes spiza","Cissopis leverianus","Claravis pretiosa","Cotinga cayana","Cotinga maynana","Cyanerpes caeruleus","Cyanocorax violaceus","Dacnis cayana","Dacnis lineata","Empidonomus varius","Eubucco richardsoni","Euphonia laniirostris","Euphonia minuta","Euphonia rufiventris","Euphonia Stevenson2015.unidsp.991","Forpus conspicillatus","Gymnoderus foetidus","Hemithraupis flavicollis","Icterus cayanensis","Lagothrix lagothricha","Legatus leucophaius","Lepidothrix coronata","Lipaugus vociferans","Machaeropterus regulus","Melanerpes cruentatus","Mionectes oleagineus","Momotus momota","Myiodynastes maculatus","Myiozetetes similis","Myrmotherula axillaris","Ortalis motmot","Pachyramphus castaneus","Patagioenas plumbea","Patagioenas subvinacea","Penelope jacquacu","Piaya cayana","Piculus flavigula","Piculus rivolii","Piculus Stevenson2015.unidsp.195","Pionites melanocephalus","Pionus menstruus","Pipra erythrocephala","Pipra filicauda","Pipridae Stevenson2015.unidsp.mult","Piranga flava","Piranga Stevenson2015.unidsp.976","Pitangus sulphuratus","Porphyrolaema porphyrolaema","Psarocolius angustifrons","Psarocolius bifasciatus","Psarocolius decumanus","Psarocolius viridis","Psittacidae Stevenson2015.unidsp.363","Psophia crepitans","Pteroglossus azara","Pteroglossus castanotis","Pteroglossus inscriptus","Pteroglossus pluricinctus","Pteroglossus Stevenson2015.unidsp.942","Pyrrhura melanura","Querula purpurata","Ramphastos tucanus","Ramphastos vitellinus","Ramphocelus carbo","Ramphocelus nigrogularis","Ramphotrigon ruficauda","Rhytipterna simplex","Saimiri sciureus","Sapajus apella","Sciurus igniventris","Selenidera reinwardtii","Setophaga fusca","Setophaga striata","Tachyphonus luctuosus","Tachyphonus surinamus","Tangara callophrys","Tangara nigrocincta","Tangara schrankii","Tangara velia","Taraba major","Tersina viridis","Thraupis episcopus","Thraupis palmarum","Tityra cayana","Trogon curucui","Trogon melanurus","Trogon rufus","Trogon viridis","Turdus albicollis","Turdus ignobilis","Turdus Stevenson2015.unidsp.18","Tyrannidae Stevenson2015.unidsp.139","Tyrannus melancholicus","Tyrannus savana","Tyrannus tyrannus","Vireo leucophrys","Vireo Stevenson2015.unidsp.131","Xenopipo holochlora"
"Cecropia sciadophylla",0.1,3.2,0,0,0,0,0,49.4,6.5,0.3,0,0,0,0,0,0.3,0,3.2,1.1,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,4.8,0,1.3,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,2,0,0.6,0,0,0,1.5,0,0.6,0,0,0,0,3.2,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0.4,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celtis schippii",0,33.7,0,0,0.4,0,0,2,1.5,0,0,0.3,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3.7,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.3,0,0,0,0,0,0
"Cestrum racemosum",1.3,8.5,0,0,0,0,0,35.9,1.4,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,3.6,0,0,0,38.1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.6,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,1.1,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0.1,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0
"Clidemia Stevenson2015.unidsp.967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clusia nigrolineata",0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0.8,0,12.2,1.6,5.3,0,0,0,0,0,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clusia palmicida",0,0,0,0,0,0,0,0,2,0.2,0,6.9,1.2,0.7,4.4,0,0,14.3,0.2,0,2,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,15.9,0,5.5,15.7,0,0,0,0,0,0,0,4.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordiera hadrantha",0,14.6,0,0,0,0,0,5.8,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coussapoa orthoneura",2.1,0.8,0,0,0,0,1.6,0.8,16.4,0,0.4,4.5,0,0,0,2.1,0,0.2,0,0.2,0.1,0,0,0,0,0.8,1.5,0.3,0,0.1,0,0,0.1,0,0.2,0.6,0.4,0.1,0.1,0,0,0,0,0,0.3,0,0,0.1,1.1,0,0,0,0,2.9,0,0,0.1,0,0,0,0,0.2,0,0.1,4.5,0,0.3,0.1,18.6,0,5.8,0,0,0,2.2,0,0.4,2,0,1.6,0.3,1.3,0,0,0,0,0,0,0.1,0,1,0.1,0.5,0,0,0,0,0.8,7.2,0,4.2,0,0,0.4,0,0.3,0,2.4,0,0.5,1.5,1.4,0,1.2,1.3,0,0,0
"Crepidospermum rhoifolium",0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendropanax caucanus",6.3,16.5,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
