"","Artibeus cinereus","Artibeus lituratus","Carollia perspicillata","Sturnira lilium"
"Cecropia obtusa",0,12,0,1
"Piper Foresta1984.unidsp.1",0,0,25,7
"Solanum asperum",1,0,4,1
"Solanum leucocarpon",0,0,2,3
"Solanum rugosum",0,0,20,8
"Solanum subinerme",0,0,10,2
"Vismia Foresta1984.unidsp.mult",1,0,46,1
