"","Erithacus rubecula","Pyrrhula pyrrhula","Sylvia atricapilla","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus viscivorus"
"Hedera helix",0.29,0,5.75,0,2.58,1.08,0
"Viburnum opulus",0,1.33,0,0,0,0,0
"Viscum album",0,0,0.6,0.02,0,0.02,0.17
