"","Artibeus jamaicensis","Carollia sowelli","Sturnira hondurensis","Sturnira parvidens"
"Lycianthes geminiflora",2,0,2,1
"Piper hispidum",0,0,0,1
"Piper lapathifolium",0,0,0,3
"Solanum aphyodendron",0,2,3,2
