"","Erithacus rubecula","Sylvia atricapilla","Sylvia melanocephala","Turdus merula"
"Ardisia excelsa",1,0,0,0
"Bosea yervamora",0,1,0,0
"Jasminum odoratissimum",1,1,1,1
"Rubia fruticosa",1,1,1,1
