"","Apodemus flavicollis","Coccothraustes coccothraustes","Erithacus rubecula","Ficedula parva","Fringilla coelebs","Garrulus glandarius","Luscinia luscinia","Muscicapa striata","Parus major","Phylloscopus trochilus","Poecile palustris","Sitta europaea","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos"
"Cornus sanguinea",0,0,72,0,0,0,0,0,0,0,0,0,106,0,18,86
"Euonymus europaeus",0,0,103,2,0,0,0,0,1,0,12,0,18,0,0,0
"Prunus padus",0,629,3,0,1,0,3,5,1,0,1,0,58,2,594,135
"Rhamnus cathartica",0,0,4,0,0,0,0,0,2,3,2,1,607,37,9,51
"Ribes nigrum",0,0,2,0,0,0,0,0,0,0,0,0,140,3,0,2
"Ribes spicatum",2,0,3,0,0,0,1,0,0,0,0,0,34,0,60,36
"Sorbus aucuparia",0,0,3,0,0,0,0,0,0,0,0,0,4,0,33,4
"Viburnum opulus",0,0,5,0,0,2,0,0,1,0,1,0,32,2,3,101
