"","Cercopithecus cephus","Cercopithecus nictitans","Cercopithecus pogonias","Colobus guereza","Gorilla gorilla","Lophocebus albigena","Pan troglodytes"
"Sorindeia Poulsen2001.unidsp.256",1,1,1,0,0,1,0
"Staudtia kamerunensis",1,1,1,1,0,1,0
"Sterculia tragacantha",0,0,0,0,0,1,0
"Strombosia grandifolia",0,1,0,0,0,1,0
"Strombosia pustulata",1,1,1,1,0,1,0
"Strombosia scheffleri",1,1,1,0,0,1,0
"Strombosiopsis tetrandra",0,1,1,1,0,1,0
"Strychnos Poulsen2001.unidsp.59",0,1,1,0,0,1,0
"Symphonia globulifera",1,1,1,0,0,1,0
"Synsepalum stipulatum",1,1,1,0,0,1,0
"Syzygium Poulsen2001.unidsp.205",1,1,1,0,0,1,0
"Tabernaemontana crassa",0,0,0,1,0,0,0
"Terminalia superba",0,1,1,0,0,1,0
"Tetracera Poulsen2001.unidsp.102",1,1,1,0,0,1,0
"Tetrapleura tetraptera",0,0,0,0,0,1,0
"Trichilia welwitschii",1,1,0,0,0,1,0
"Trichoscypha acuminata",0,0,0,0,1,0,1
"Trichoscypha Poulsen2001.unidsp.770",1,1,1,0,0,1,1
"Trichostachys Poulsen2001.unidsp.944",0,0,1,0,0,1,1
"Tridesmostemon omphalocarpoides",0,0,0,0,0,0,1
"Trilepisium madagascariense",0,0,1,0,0,1,0
"Turraeanthus africana",1,1,0,0,0,1,0
"Uapaca acuminata",1,1,1,1,1,1,1
"Uapaca guineensis",1,1,1,0,1,1,1
"Uapaca paludosa",1,1,1,0,1,1,1
"Uapaca vanhouttei",1,1,1,1,1,1,1
"Uvariastrum pierreanum",0,1,0,0,0,0,0
"Vitex grandifolia",1,0,1,0,1,1,1
"Vitex Poulsen2001.unidsp.1",1,0,1,0,0,1,0
"Vitex rivularis",0,0,0,0,0,1,0
"Xylopia aethiopica",0,1,1,0,0,1,0
"Xylopia hypolampra",1,1,1,1,0,1,0
"Xylopia parviflora",0,0,0,0,0,1,0
"Xylopia quintasii",0,0,0,0,0,1,0
"Xylopia rubescens",0,1,1,1,0,1,0
"Xylopia staudtii",0,1,1,0,0,1,0
"Zanthoxylum heitzii",0,0,0,0,0,1,0
"Zanthoxylum Poulsen2001.unidsp.1",0,0,0,0,0,1,0
