"","Cerradomys scotti","Cerradomys subflavus","Didelphis albiventris","Didelphis aurita","Monodelphis domestica","Necromys lasiurus","Oligoryzomys Genrich2017.unidsp.964","Philander frenatus","Sciurus aestuans"
"Byrsonima Genrich2017.unidsp.847",0,0,0,0,0,0,0,0,2
"Campomanesia adamantium",0,0,0,0,0,21,0,0,0
"Cecropia glaziovii",0,15,0,15,0,0,0,0,0
"Cecropia hololeuca",0,0,0,0,0,0,0,1,0
"Cecropia pachystachya",0,22,0,18,0,0,0,1,0
"Chiococca alba",0,0,0,0,0,4,0,0,0
"Coccocypselum aureum",7,21,0,1,0,0,0,0,0
"Erythroxylum Genrich2017.unidsp.693",0,0,0,7,0,0,0,0,0
"Euphorbiaceae Genrich2017.unidsp.556",0,0,0,11,0,0,0,0,0
"Ficus Genrich2017.unidsp.270",0,0,0,2,0,0,0,0,0
"Leandra aurea",0,3,0,0,0,27,0,0,0
"Leandra coriacea",0,0,0,0,0,6,0,0,0
"Leandra Genrich2017.unidsp.105",0,1,0,0,0,2,0,0,0
"Miconia albicans",0,0,0,1,0,0,0,0,0
"Miconia Genrich2017.unidsp.1",0,0,4,0,0,0,0,0,0
"Miconia ligustroides",0,0,0,55,0,0,0,0,0
"Miconia pepericarpa",0,3,0,0,0,0,0,0,0
"Myrtaceae Genrich2017.unidsp.1",0,0,0,2,0,0,0,0,0
"Myrtaceae Genrich2017.unidsp.2",0,0,0,9,0,10,0,0,0
"Psidium Genrich2017.unidsp.182",0,2,0,0,2,42,0,0,0
"Rubus Genrich2017.unidsp.1",0,0,4,0,0,0,0,0,0
"Rubus Genrich2017.unidsp.2",0,0,0,0,0,0,0,1,0
"Sabicea brasiliensis",0,11,0,0,0,0,0,0,0
"Solanum Genrich2017.unidsp.165",0,0,0,0,0,7,0,0,0
"Tocoyena formosa",0,0,1,0,0,0,0,0,0
"Unidentified Genrich2017.unidsp.1",0,0,7,0,0,0,0,0,0
"Unidentified Genrich2017.unidsp.2",0,0,0,1,0,0,0,0,0
"Unidentified Genrich2017.unidsp.3",0,0,0,2,0,0,0,0,0
"Unidentified Genrich2017.unidsp.5",0,0,0,0,0,0,0,1,0
"Unidentified Genrich2017.unidsp.6",0,0,0,1,0,0,0,0,0
"Unidentified Genrich2017.unidsp.7",0,0,0,55,0,0,1,0,0
"Unidentified Genrich2017.unidsp.8",0,72,0,0,0,10,0,0,0
"Unidentified Genrich2017.unidsp.9",0,9,0,0,2,120,0,0,0
"Vismia brasiliensis",0,0,0,3,0,0,0,0,0
