"","Artibeus lituratus","Carollia perspicillata","Sturnira lilium"
"Cecropia obtusifolia",4,2,0
"Cecropia peltata",0,2,0
"Ficus insipida",1,0,0
"Piper hispidum",0,5,0
"Solanum americanum",3,0,3
