"","Cyanistes caeruleus","Erithacus rubecula","Ficedula hypoleuca","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia melanocephala","Turdus merula"
"Daphne gnidium",0,0,0,0,0,0,1,0
"Lonicera periclymenum",0,0,0,1,0,0,0,0
"Phillyrea angustifolia",0,1,0,1,1,1,0,0
"Phillyrea latifolia",0,0,0,0,1,0,0,0
"Rubus ulmifolius",1,1,1,1,1,1,1,1
"Sambucus nigra",0,0,0,1,0,1,0,0
"unknown Costa2018.unidsp.1",0,0,0,1,0,0,0,0
