"","Chloris chloris","Cyanistes caeruleus","Erithacus rubecula","Fringilla coelebs","Parus major","Poecile palustris","Pyrrhula pyrrhula","Turdus merula","Turdus pilaris","Turdus viscivorus"
"Cornus sanguinea",0,0.39,0.72,0,0.22,0.39,0,0,0,0
"Crataegus monogyna",0,0,0,0,0,0,0.08,0.75,0.75,0
"Ligustrum vulgare",0,0.03,0.28,0,0,0,0.22,0.42,0.06,0
"Malus domestica",0,0,0,0.67,0,0,0,8.22,2.78,0
"Prunus spinosa",0,0,0,0,0,0,0,16,0,0
"Rosa canina",0.56,0.01,0,0,0,0.01,0,0.69,0.19,0
"Viburnum opulus",0,0,0.12,0,0,0,0.3,0.27,1.46,0
"Viscum album",0,0,0,0,0,0,0,0,0,0.77
