"","Carollia brevicauda","Carollia perspicillata","Sturnira erythromos","Sturnira oporaphilum","Sturnira tildae"
"Cecropia latiloba",0,0,3,0,0
"Fagaceae Maguina2012.unidsp.mult",0,0,0,1,0
"Moraceae Maguina2012.unidsp.mult",0,0,0,1,0
"Piper crassinervium",2,5,0,0,0
"Piper Maguina2012.unidsp.1",0,1,0,0,0
"Piper Maguina2012.unidsp.2",0,0,25,0,0
"Piper Maguina2012.unidsp.3",0,0,3,0,0
"Solanum appressum",0,0,0,0,2
"Vismia tomentosa",0,0,1,0,0
