"","Aratinga nana","Empidonax virescens","Icteria virens","Icterus galbula","Icterus gularis","Icterus spurius","Megarynchus pitangua","Melanerpes aurifrons","Myiarchus tuberculifer","Myiarchus tyrannulus","Myiozetetes similis","Ortalis vetula","Patagioenas flavirostris","Pitangus sulphuratus","Psarocolius montezuma","Psilorhinus morio","Thraupis abbas","Thraupis episcopus","Tityra semifasciata","Trogon melanocephalus","Turdus grayi","Tyrannus forficatus","Tyrannus tyrannus","Vireo philadelphicus"
"Casearia corymbosa",0,1,1,3,0,0,0,0,4,10,3,0,0,7,0,0,0,0,1,0,4,0,274,1
"Crateva tapia",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ehretia tinifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Ficus cotinifolia",13,0,0,130,0,3,9,10,0,0,13,2,4,17,2,6,10,4,3,0,10,0,62,0
"Ficus insipida",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maclura tinctoria",0,0,0,0,11,0,1,14,0,0,0,13,0,2,4,1,0,0,0,0,0,0,0,0
"Nectandra salicifolia",0,0,0,15,0,2,2,3,0,3,3,2,0,4,0,0,0,0,3,1,8,2,370,0
"Psychotria erythrocarpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0
"Unidentified Ramos-Robles2016.unidsp.36",0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Ramos-Robles2016.unidsp.37",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Ramos-Robles2016.unidsp.38",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitis bourgaeana",0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
