"","Dives dives","Icterus gularis","Megarynchus pitangua","Melanerpes aurifrons","Myiodynastes luteiventris","Myiozetetes similis","Ortalis vetula","Pachyramphus aglaiae","Patagioenas flavirostris","Piaya cayana","Pitangus sulphuratus","Psarocolius montezuma","Psilorhinus morio","Thraupis abbas","Tityra semifasciata","Trogon melanocephalus","Turdus grayi"
"Coccoloba barbadensis",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Dendropanax arboreus",0,0,3,1,0,5,2,0,4,0,1,1,2,2,3,0,0
"Ehretia tinifolia",21,0,2,10,0,1,9,1,62,1,4,0,2,10,0,1,0
"Ficus Ramos-Robles2016.unidsp.872",0,0,3,4,0,0,0,0,0,0,0,2,0,0,0,1,0
"Nectandra salicifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Unidentified Ramos-Robles2016.unidsp.35",0,1,1,0,0,2,0,0,0,0,5,0,0,0,0,0,1
"Vitis bourgaeana",0,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,0
