"","Anthoscopus caroli","Apalis rufogularis","Arizelocichla masukuensis","Atimastillas flavicollis","Baeopogon indicator","Bathmocercus rufus","Bleda syndactylus","Buccanodon duchaillui","Bycanistes subcylindricus","Campephaga flava","Centropus monachus","Cercopithecus ascanius","Cercopithecus mitis","Chalcomitra amethystina","Chalcomitra senegalensis","Chlorocichla laetissima","Cinnyricinclus leucogaster","Colius striatus","Colobus guereza","Columba larvata","Cossypha heuglini","Cossypha niveicapilla","Cossypha polioptera","Crithagra citrinelloides","Crithagra dorsostriata","Crithagra mozambica","Cuculus clamosus","Cyanomitra olivacea","Cyanomitra verticalis","Dicrurus adsimilis","Elminia longicauda","Eremomela turneri","Estrilda nonnula","Eurillas ansorgei","Eurillas curvirostris","Eurillas latirostris","Eurillas virens","Gymnobucco bonapartei","Heliosciurus rufobrachium","Hylia prasina","Iduna pallida","Laniarius luehderi","Lybius bidentatus","Malimbus rubricollis","Musophaga rossae","Nigrita canicapillus","Nigrita fusconotus","Oriolus auratus","Oriolus brachyrynchus","Papio anubis","Parus albiventris","Parus funereus","Phoenicurus phoenicurus","Phyllastrephus cabanisi","Phyllastrephus hypochloris","Phylloscopus budongoensis","Phylloscopus sibillatrix","Phylloscopus trochilus","Platysteira castanea","Platysteira cyanea","Ploceus baglafecht","Ploceus bicolor","Ploceus insignis","Ploceus melanocephalus","Ploceus nigerrimus","Ploceus nigricollis","Ploceus ocularis","Pogoniulus bilineatus","Prinia bairdii","Prodotiscus insignis","Pseudalethe poliocephala","Pycnonotus barbatus","Schistolais leucopogon","Spermophaga ruficapilla","Stelgidillas gracilirostris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Terpsiphone viridis","Tockus alboterminatus","Trachylaemus purpuratus","Treron calvus","Tricholaema hirsuta","Turdoides sharpei","Turdus abyssinicus","Turdus pelios","Turtur tympanistria","Zosterops senegalensis"
"Cyphostemma cyphopetalum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,9,2,0,0,9,0,0,0,0,0,0,0,0,0,2,0,10
"Dracaena fragrans",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ficus exasperata",0,0,0,0,0,0,0,0,0,0,0,13,34,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,9,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,3
"Ficus sur",0,0,1,0,0,0,0,10,2,0,0,52,28,0,0,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,2,0,3,0,0,0,5,0,0,0,2,0,6,0,0,0,30,0,0,0,8,0,0,0,2,0,0,0,0,0,1,0,6
"Harungana madagascariensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,4,1,3
"Jasminum fluminense",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
"Lantana camara",0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4
"Maesa lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Manilkara butugi",0,0,2,0,0,0,0,0,12,0,0,29,36,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
"Morus mesozygia",0,0,0,0,0,0,0,0,2,0,0,46,27,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0
