"","Callosciurus finlaysonii","Leopoldamys sabanus","Maxomys surifer","Menetes berdmorei","Niviventer fulvescens","Rattus andamanensis","Tupaia belangeri"
"Acacia Suzuki2007.unidsp.1",2,0,32,16,6,0,0
"Acrocarpus fraxinifolius",0,0,7,0,8,0,0
"Acronychia pedunculata",0,0,7,2,0,0,0
"Aglaia lawii",20,0,22,0,0,2,0
"Aglaia spectabilis",7,0,241,11,0,5,4
"Alphonsea elliptica",0,8,6,8,0,1,3
"Antiaris toxicaria",0,0,33,0,0,0,1
"Aphanamixis polystachya",0,0,6,0,0,0,0
"Aphananthe cuspidata",2,2,3,2,1,0,1
"Areca triandra",0,0,55,2,0,9,1
"Artocarpus lacucha",0,3,0,0,0,0,0
"Balakata baccata",0,0,12,1,0,0,0
"Beilschmiedia villosa",0,0,9,19,0,0,0
"Bhesa robusta",0,0,6,0,0,0,0
"Canarium euphyllum",30,24,227,254,7,1,7
"Canthium coffeoides",0,3,35,1,0,0,9
"Casearia grewiifolia",0,0,1,0,0,0,0
"Choerospondias axillaris",5,1,155,21,4,2,14
"Cinnamomum subavenium",6,0,26,11,0,0,1
"Citrus limon",0,0,0,0,0,1,0
"Citrus Suzuki2007.unidsp.1",1,1,89,2,0,0,0
"Clausena harmandiana",0,1,21,0,1,0,0
"Cryptocarya impressa",0,0,78,0,0,0,1
"Diospyros glandulosa",0,0,3,0,0,0,0
"Dipterocarpus gracilis",0,0,5,1,2,0,0
"Dysoxylum cyrtobotryum",0,0,19,0,0,0,0
"Elaeagnus conferta",0,0,21,0,0,0,1
"Elaeocarpus tectorius",0,1,53,41,5,0,6
"Ficus altissima",1,0,46,4,27,0,0
"Ficus annulata",0,0,7,0,2,0,1
"Ficus benjamina",0,0,6,4,41,0,0
"Ficus subcordata",11,2,65,8,35,8,21
"Ficus Suzuki2007.unidsp.3",0,0,5,0,1,0,1
"Garcinia merguensis",0,0,17,0,0,0,1
"Gnetum Suzuki2007.unidsp.1",0,0,28,10,4,2,0
"Gonocaryum lobbianum",0,7,16,0,2,0,0
"Helicia formosana",1,2,10,4,0,0,0
"Knema erratica",1,0,8,0,0,0,0
"Lithocarpus Suzuki2007.unidsp.1",0,0,57,0,0,0,0
"Lithocarpus thomsonii",0,0,11,32,0,0,0
"Livistona speciosa",0,1,34,6,2,2,1
"Macaranga gigantea",0,0,4,0,9,0,0
"Magnolia baillonii",0,0,11,2,0,0,0
"Mastixia pentandra",0,0,159,9,2,0,1
"Melia azedarach",1,1,22,1,3,0,15
"Miliusa cuneata",0,5,18,0,0,8,2
"Mischocarpus pentapetalus",0,0,60,0,5,0,1
"Mitragyna Suzuki2007.unidsp.1",0,0,40,6,0,8,7
"Neolamarckia cadamba",13,0,33,8,24,0,2
"Palaquium garrettii",0,0,18,0,0,0,0
"Phoebe cathia",0,0,0,3,0,10,12
"Platea latifolia",1,0,40,20,1,0,0
"Platymitra macrocarpa",1,5,12,0,0,0,1
"Polyalthia Suzuki2007.unidsp.1",0,0,37,5,2,0,0
"Polyalthia viridis",0,1,22,0,0,0,0
"Quercus myrsinifolia",1,0,66,8,0,0,0
"Sandoricum koetjape",1,1,8,2,0,0,2
"Syzygium albiflorum",0,0,5,3,0,0,1
"Syzygium cumini",0,0,4,0,0,0,0
"Trichosanthes tricuspidata",0,4,37,0,0,4,0
"Unidentified Suzuki2007.unidsp.233",0,0,0,0,0,0,3
"Unona jucunda",0,0,1,0,0,0,0
"Uvaria concava",1,0,2,0,0,0,0
