"","Anthornis melanura","Hemiphaga novaeseelandiae","Turdus merula","Turdus philomelos","Zosterops lateralis"
"Carpodetus serratus",0,1,0,0,0
"Coprosma grandifolia",1,0,2,2,3
"Coprosma robusta",1,0,0,0,0
"Coriaria arborea",0,0,0,0,1
"Dacrycarpus dacrydioides",1,0,0,0,0
"Fuchsia excorticata",0,3,0,0,1
"Melicytus ramiflorus",0,0,0,0,1
"Neopanax arboreus",1,2,3,3,26
"Podocarpus totara",2,0,0,0,0
"Prumnopitys taxifolia",2,10,0,0,0
