"","Columba leucomela","Lopholaimus antarcticus","Macropygia amboinensis","Ptilinopus magnificus","Ptilinopus regina"
"Cayratia eurynema",0,0,0,1,1
"Cissus antarctica",0,0,0,1,1
"Claoxylon australe",0,0,1,0,0
"Cocculus moorei",0,0,0,0,1
"Cryptocarya bidwillii",0,0,0,1,0
"Diospyros pentamera",0,1,0,1,1
"Euroschinus falcatus",0,1,0,0,1
"Ficus fraseri",0,0,1,1,1
"Ficus macrophylla",0,1,0,1,1
"Ficus platypoda",0,1,0,1,1
"Ficus superba",0,1,0,1,1
"Geijera salicifolia",0,0,1,0,0
"Olea paniculata",1,1,1,1,1
"Polyscias elegans",0,1,1,0,0
"Solanum stelligerum",0,0,1,0,0
"Tetrastigma nitens",0,0,0,1,1
"Trema aspera",0,0,1,0,0
