"","Artibeus jamaicensis","Artibeus lituratus","Artibeus toltecus","Carollia sowelli","Glossophaga commissarisi","Sturnira hondurensis"
"Cecropia obtusifolia",0,0,0,0,0,1
"Cecropia peltata",1,0,1,0,0,1
"Cecropia Quijano-Vasquez2017.unidsp.479",0,0,0,0,0,1
"Ficus Quijano-Vasquez2017.unidsp.1",1,1,1,0,0,0
"Ficus Quijano-Vasquez2017.unidsp.2",1,0,1,0,0,0
"Hedyosmum mexicanum",0,0,0,0,0,1
"Miconia Quijano-Vasquez2017.unidsp.1",0,0,0,1,0,0
"Miconia Quijano-Vasquez2017.unidsp.499",0,0,0,1,0,0
"Piper Quijano-Vasquez2017.unidsp.1",1,0,1,1,0,1
"Piper Quijano-Vasquez2017.unidsp.2",0,0,0,1,0,0
"Piper Quijano-Vasquez2017.unidsp.3",0,0,0,1,0,1
"Piper Quijano-Vasquez2017.unidsp.4",0,0,0,1,0,0
"Saurauia Quijano-Vasquez2017.unidsp.930",0,0,0,1,1,1
"Solanum Quijano-Vasquez2017.unidsp.1",0,0,0,0,0,1
"Solanum Quijano-Vasquez2017.unidsp.2",0,0,0,0,0,1
"Zanthoxylum Quijano-Vasquez2017.unidsp.191",0,0,0,0,0,1
