"","Arremon torquatus","Atlapetes citrinellus","Cacicus chrysopterus","Chlorospingus flavopectus","Elaenia albiceps","Elaenia obscura","Elaenia strepera","Leptotila megalura","Penelope obscura","Pheucticus aureoventris","Pipraeidea melanonota","Poospiza erythrophrys","Thlypopsis ruficeps","Thlypopsis sordida","Thraupis sayaca","Turdus nigriceps","Turdus rufiventris"
"Azara salicifolia",0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"Berberis commutata",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Citharexylum joergensenii",0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0
"Duchesnea indica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Frangula sphaerosperma",0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0
"Muehlenbeckia tamnifolia",0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
"Myrcianthes mato",0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1
"Myrcianthes pseudomato",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Podocarpus parlatorei",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Rubus imperialis",0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"Sambucus nigra",0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1
"Schinus gracilipes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"Solanum aligerum",1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1
"Tournefortia lilloi",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Vassobia breviflora",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"Viburnum seemenii",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
