"","Anoura caudifer","Anoura cultrata","Anoura peruana","Artibeus glaucus","Artibeus planirostris","Carollia brevicauda","Carollia perspicillata","Chiroderma salvini","Enchisthenes hartii","Glossophaga soricina","Lonchophylla handleyi","Mesophylla macconnelli","Phyllostomus hastatus","Platyrrhinus helleri","Platyrrhinus infuscus","Platyrrhinus masu","Sturnira erythromos","Sturnira lilium","Sturnira magna","Uroderma bilobatum","Vampyressa melissa"
"Piper Arias-Arone2016.unidsp.8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pitcairnia Arias-Arone2016.unidsp.1",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteaceae Arias-Arone2016.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rollinia Arias-Arone2016.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubiaceae Arias-Arone2016.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sapium Arias-Arone2016.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanaceae Arias-Arone2016.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Solanaceae Arias-Arone2016.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Solanaceae Arias-Arone2016.unidsp.3",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum abitaguense",0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0
"Solanum Arias-Arone2016.unidsp.1",0,0,0,0,0,5,2,0,0,0,0,0,1,0,1,9,0,0,0,0,0
"Solanum Arias-Arone2016.unidsp.2",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
