"","Coccothraustes coccothraustes","Dendrocopos major","Erithacus rubecula","Muscicapa striata","Parus major","Sitta europaea","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus viscivorus"
"Cornus sanguinea",0,0,15,0,0,0,9,0,0,6,0,0
"Euonymus europaeus",0,0,5,0,0,0,15,0,0,0,0,0
"Euonymus verrucosus",0,0,2,0,0,0,2,0,0,0,0,0
"Frangula alnus",0,1,46,0,0,6,282,2,17,3,0,0
"Lonicera xylosteum",0,0,0,0,0,0,0,0,1,4,0,0
"Prunus padus",35,0,0,1,4,0,21,2,87,4,2,1
"Ribes nigrum",0,0,0,0,0,0,0,0,0,3,0,0
"Viburnum opulus",0,0,1,0,0,0,4,0,0,0,0,0
