"","Catharus fuscescens","Catharus minimus","Catharus ustulatus","Dumetella carolinensis","Empidonax traillii","Empidonax virescens","Geothlypis formosa","Helmitheros vermivorum","Hylocichla mustelina","Icterus galbula","Myiarchus crinitus","Piranga olivacea","Piranga rubra","Seiurus aurocapilla","Setophaga castanea","Setophaga fusca","Setophaga pensylvanica","Setophaga pinus","Tyrannus tyrannus","Vireo olivaceus"
"Miconia simplex",0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Miconia smaragdina",0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Nectandra membranacea",0,0,12,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Neea psychotrioides",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notopleura epiphytica",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ossaea Blake1992.unidsp.369",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ossaea macrophylla",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Ossaea robusta",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea copensis",0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Passiflora auriculata",0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Phytolacca rivinoides",0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pinzona coriacea",0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
"Piper Blake1992.unidsp.007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Psychotria Blake1992.unidsp.099",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Psychotria brachiata",0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria cyanococca",0,3,1,13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Psychotria elata",0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Psychotria grandis",0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Psychotria grandistipulata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria officinalis",0,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Psychotria psychotriifolia",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubiaceae Blake1992.unidsp.390",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sabicea Blake1992.unidsp.060",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sabicea Blake1992.unidsp.094",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sabicea villosa",0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Schefflera systyla",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Siparuna grandiflora",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smilax Blake1992.unidsp.59",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Topobea Blake1992.unidsp.175",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Trichostigma polyandrum",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Undetermined Blake1992.unidsp.041",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Undetermined Blake1992.unidsp.046",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Undetermined Blake1992.unidsp.0885",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Undetermined Blake1992.unidsp.090",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Undetermined Blake1992.unidsp.106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Undetermined Blake1992.unidsp.1641",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Undetermined Blake1992.unidsp.2441",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Urera baccifera",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Urera caracasana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verbenaceae Blake1992.unidsp.009",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitex cooperi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Witheringia solanacea",0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Xiphidium caeruleum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
