"","Alophoixus flaveolus","Anthracoceros albirostris","Ducula aenea","Ducula badia","Gracula religiosa","Hemixos flavala","Heterophasia picaoides","Hypsipetes leucocephalus","Irena puella","Leiothrix argentauris","Megalaima asiatica","Megalaima haemacephala","Megalaima lineata","Megalaima virens","Oriolus kundoo","Pycnonotus cafer","Pycnonotus flaviventris","Pycnonotus jocosus","Rhyticeros undulatus","Treron apicauda","Treron phoenicopterus","Treron pompadora"
"Actinodaphne hookeri",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Ficus drupacea",31,0,0,23,7,15,20,35,8,1,81,33,12,2,3,2,19,0,1,38,40,16
"Litsea VELHO2NA.unidsp.75",51,0,0,9,15,0,0,24,0,0,19,0,8,0,0,7,2,4,0,0,0,0
"Magnolia hodgsonii",21,0,0,0,0,0,0,10,0,0,1,0,1,0,0,7,4,0,0,0,0,0
"Polyalthia simiarum",0,1,9,41,63,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Sterculia villosa",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0
