"","Icterus gularis","Megarynchus pitangua","Melanerpes aurifrons","Myiozetetes similis","Ortalis vetula","Pachyramphus aglaiae","Piaya cayana","Piranga rubra","Pitangus sulphuratus","Polioptila caerulea","Psarocolius montezuma","Psilorhinus morio","Quiscalus mexicanus","Trogon melanocephalus","Vireo griseus"
"Bursera fagaroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bursera simaruba",1,11,8,12,0,0,0,1,27,0,4,1,0,1,0
"Chrysobalanus icaco",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Nectandra salicifolia",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"Psittacanthus calyculatus",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria erythrocarpa",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Tabernaemontana litoralis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Unidentified Ramos-Robles2016.unidsp.28",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Unidentified Ramos-Robles2016.unidsp.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
