"","Anthornis melanura","Hemiphaga novaeseelandiae","Turdus merula","Turdus philomelos","Zosterops lateralis"
"Beilschmiedia tawa",0,26,0,0,0
"Coprosma grandifolia",1,0,1,0,0
"Coprosma robusta",0,0,0,0,1
"Dacrycarpus dacrydioides",1,3,0,0,0
"Elaeocarpus dentatus",1,0,0,0,0
"Melicytus ramiflorus",0,1,1,0,0
"Neopanax arboreus",0,0,0,1,1
"Podocarpus totara",13,1,1,1,3
"Prumnopitys ferruginea",0,5,0,0,0
"Prumnopitys taxifolia",1,3,3,2,0
"Rhipogonum scandens",1,0,0,0,0
