"","Cardellina canadensis","Catharus fuscescens","Catharus minimus","Empidonax flaviventris","Empidonax traillii","Empidonax virescens","Hylocichla mustelina","Myiarchus crinitus","Piranga rubra","Protonotaria citrea","Seiurus aurocapilla","Setophaga castanea","Vireo flavifrons","Vireo flavoviridis","Vireo olivaceus"
"Anthurium Wolfe2014.unidsp.mult",0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
"Citharexylum caudatum",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"Clidemia Wolfe2014.unidsp.mult",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conostegia xalapensis",1,13,8,1,23,1,0,1,43,29,1,1,1,1,5
"Geonoma Wolfe2014.unidsp.mult",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea guianensis",0,10,2,1,3,0,0,0,10,0,0,0,0,0,1
"Psychotria brachiata",0,1,0,0,0,0,1,0,2,0,0,0,0,0,0
"Psychotria glomerulata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Psychotria grandis",1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
