"","Artibeus lituratus","Carollia perspicillata","Glossophaga soricina","Platyrrhinus lineatus","Sturnira lilium","Vampyressa pusilla"
"Cecropia pachystachya",25,2,2,5,3,0
"Ficus citrifolia",4,0,0,4,1,0
"Ficus Silveira2006.unidsp.655",2,1,0,1,0,1
"Piper aduncum",2,11,0,0,2,0
"Piper umbellatum",0,3,0,0,0,0
"Solanum Silveira2006.unidsp.217",36,25,1,19,30,0
"Unidentified Silveira2006.unidsp.mult",2,0,0,0,0,0
