"","Aratinga nana","Dumetella carolinensis","Megarynchus pitangua","Melanerpes aurifrons","Myiarchus tuberculifer","Myiozetetes similis","Ortalis vetula","Piaya cayana","Pitangus sulphuratus","Psarocolius montezuma","Thraupis abbas","Thraupis episcopus","Tityra semifasciata","Trogon melanocephalus","Turdus grayi","Vireo griseus","Vireo solitarius"
"Bursera simaruba",2,0,11,14,1,13,0,0,13,0,2,0,10,1,0,2,6
"Cordia alba",0,6,0,0,0,0,6,1,2,0,0,0,0,0,6,0,0
"Diospyros acapulcensis subsp. verae-crucis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus insipida",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nectandra salicifolia",0,8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Psittacanthus calyculatus",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Rhamnus humboldtiana",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"Rourea glabra",0,0,0,5,0,0,0,0,3,1,0,0,1,0,9,0,0
"Smilax aristolochiifolia",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Tabernaemontana litoralis",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Ramos-Robles2016.unidsp.40",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
