"","Coereba flaveola","Cyclarhis gujanensis","Elaenia cristata","Knipolegus nigerrimus","Piranga flava","Saltator similis","Schistochlamys ruficapillus","Turdus leucomelas","Zonotrichia capensis"
"Alchornea triplinervia",0,0,2,0,0,0,0,0,0
"Anthurium affine",0,0,5,2,0,0,6,0,0
"Eugenia Faustino2006.unidsp.538",0,0,0,0,0,1,2,0,0
"Gaylussacia virgata",0,0,0,0,0,0,0,0,1
"Hohenbergia ridleyi",0,0,0,0,0,0,3,0,0
"Humiria balsamifera",0,0,1,0,1,0,3,0,0
"Miconia alborufescens",0,0,5,2,0,0,0,0,0
"Myrcia palustris",0,4,27,0,3,0,46,152,4
"Stephanocereus luetzelburgii",146,0,0,0,0,0,0,0,0
"Ternstroemia Faustino2006.unidsp.367",0,0,0,3,0,0,0,0,0
