"","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Garrulus glandarius","Parus major","Poecile palustris","Sitta europaea","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos"
"Euonymus europaeus",38,0,0,0,1,3,0,0,0,0,0
"Frangula alnus",10,0,0,0,0,0,5,41,0,38,5
"Prunus padus",3,1,1,3,1,1,8,2,0,20,8
"Rhamnus cathartica",2,0,0,0,1,1,0,17,3,0,11
"Ribes nigrum",7,0,0,0,0,0,0,12,0,8,0
"Ribes spicatum",0,0,1,1,10,0,1,9,1,9,9
"Sorbus aucuparia",1,0,0,0,0,0,0,0,0,0,0
"Viburnum opulus",1,0,0,0,1,1,0,12,2,0,6
