"","Apodemus flavicollis","Coccothraustes coccothraustes","Dendrocopos major","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Parus major","Poecile palustris","Sitta europaea","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos"
"Crataegus monogyna",0,7,0,1,0,0,0,1,0,1,0,20,0
"Frangula alnus",0,0,0,14,0,0,2,1,5,41,9,0,3
"Prunus padus",0,0,0,9,1,1,2,1,0,36,4,10,0
"Ribes nigrum",0,0,0,2,0,0,0,0,0,6,0,0,0
"Ribes spicatum",1,0,3,1,0,0,0,0,0,13,0,13,0
"Rubus idaeus",0,0,2,0,0,0,0,0,0,1,0,2,0
"Sambucus nigra",0,0,0,2,0,0,0,0,0,0,0,11,6
"Sorbus aucuparia",0,0,0,2,0,0,0,0,0,6,0,54,0
