"","Colaptes pitius","Elaenia albiceps","Phrygilus patagonicus","Pteroptochos tarnii","Scelorchilus rubecula","Turdus falcklandii","Zonotrichia capensis"
"Aextoxicon punctatum",0,0,0,0,0,1,0
"Amomyrtus luma",0,0,0,1,1,0,0
"Drimys winteri",1,0,1,1,1,1,0
"Gaultheria mucronata",0,0,0,0,1,0,0
"Myrteola nummularia",0,0,1,0,1,0,0
"Nertera granadensis",0,0,0,0,0,0,1
"Ovidia pillopillo",0,1,0,0,1,1,0
"Relbunium Rozzi1996.unidsp.693",0,0,0,0,0,0,1
