"","Aplonis opaca","Corvus kubaryi","Gallicolumba xanthonura","Ptilinopus roseicapilla"
"Aglaia mariannensis",7,0,0,0
"Carica papaya",167,1,3,0
"Melanolepis multiglandulosa",47,0,9,0
"Pipturus argenteus",136,0,0,14
"Premna serratifolia",106,0,18,6
"Psychotria mariana",0,0,0,3
