"","Artibeus jamaicensis","Artibeus lituratus","Carollia perspicillata","Carollia sowelli","Glossophaga soricina","Sturnira hondurensis","Sturnira parvidens"
"Cecropia obtusifolia",0,0,1,4,0,2,9
"Cecropia peltata",0,0,0,0,0,1,2
"Cecropia Santiago2014.unidsp.1",0,1,0,3,0,11,8
"Coccocypselum Santiago2014.unidsp.1",0,0,0,0,0,0,1
"Ficus americana",0,0,1,5,0,0,4
"Ficus colubrinae",0,0,0,1,0,0,0
"Ficus cotinifolia",0,0,1,3,0,1,2
"Godmania Santiago2014.unidsp.578",0,0,0,0,0,0,2
"Physalis Santiago2014.unidsp.347",0,0,0,0,0,0,2
"Piper auritum",1,4,1,24,1,22,21
"Piper hispidum",0,0,0,0,0,0,1
"Solanum diphyllum",1,1,0,6,0,5,22
"Solanum rudepannum",0,0,1,2,0,0,2
"Spermacoce laevis",0,1,0,3,0,0,0
