"","Artibeus rosenbergi","Carollia castanea","Carollia perspicillata"
"Philodendron Zapata-Mesa2017.unidsp.3",0,0,1
"Piper Zapata-Mesa2017.unidsp.2",0,2,0
"Piper Zapata-Mesa2017.unidsp.6",0,0,1
"Solanum Zapata-Mesa2017.unidsp.2",1,0,0
"Unknown Zapata-Mesa2017.unidsp.5",1,0,0
