"","Artibeus lituratus","Carollia brevicauda","Enchisthenes hartii","Sturnira lilium"
"Cecropia telealba",28,0,3,1
"Piper crassinervium",1,0,0,14
"Solanum aphyodendron",0,5,4,15
"Solanum undullata",1,0,2,5
"Vismia guianensis",3,0,0,0
