"","Canis lupus","Martes martes","Ursus arctos","Vulpes vulpes"
"Cornus mas",0,0,3,1
"Crataegus orientalis",0,0,0,1
"Fragaria vesca",0,1,0,1
"Malus sylvestris",1,3,0,7
"Prunus avium",0,4,0,8
"Prunus cocomilia",2,1,3,3
"Rosa Giannakos1997.unidsp.99",2,0,1,7
"Rubus Giannakos1997.unidsp.126",5,5,4,16
"Unidentified Giannakos1997.unidsp.mult",2,1,0,2
