"","Alouatta macconnelli","Ateles paniscus","Sapajus apella"
"Ambelania acida",0,1,1
"Annona Simmen1996.unidsp.243",0,1,0
"Anthurium Simmen1996.unidsp.52",0,1,0
"Apeiba petoumo",0,0,1
"Apocynaceae Simmen1996.unidsp.51",0,1,0
"Attalea maripa",0,0,1
"Bagassa guianensis",1,1,1
"Brosimum guianense",1,1,0
"Buchenavia Simmen1996.unidsp.709",1,0,0
"Buchenavia tetraphylla",1,0,0
"Cassia Simmen1996.unidsp.290",0,1,0
"Cayaponia Simmen1996.unidsp.267",0,0,1
"Cayaponia Simmen1996.unidsp.679",0,1,0
"Cecropia sciadophylla",0,1,0
"Cheiloclinium cognatum",0,0,1
"Cheiloclinium Simmen1996.unidsp.719",1,1,0
"Chrysophyllum cuneifolium",0,0,1
"Chrysophyllum eximium",1,0,1
"Chrysophyllum lucentifolium",1,1,1
"Chrysophyllum pomiferum",1,0,0
"Chrysophyllum prieurii",0,1,0
"Chrysophyllum sanguinolentum",0,0,1
"Chrysophyllum Simmen1996.unidsp.215",1,0,0
"Cinnamodendron tenuifolium",1,1,0
"Coccoloba Simmen1996.unidsp.423",1,1,1
"Coussarea albescens",0,0,1
"Dendrobangia boliviana",1,0,0
"Dicranostyles Simmen1996.unidsp.260",0,0,1
"Dicranostyles Simmen1996.unidsp.690",0,1,0
"Dimorphandra pullei",0,1,0
"Diospyros Simmen1996.unidsp.438",0,1,0
"Dipteryx Simmen1996.unidsp.1",0,0,1
"Duguetia surinamensis",0,1,0
"Dussia discolor",0,1,0
"Ecclinusa guianensis",1,0,0
"Ecclinusa lanceolata",1,0,0
"Ficus amazonica",1,0,0
"Ficus americana subsp. guianensis",0,1,0
"Ficus leiophylla",0,1,0
"Ficus nymphaeifolia",1,1,0
"Ficus Simmen1996.unidsp.293",1,1,0
"Ficus Simmen1996.unidsp.510",0,1,0
"Galipea Simmen1996.unidsp.669",0,0,1
"Garcinia benthamiana",0,0,1
"Gnetum paniculatum",1,0,0
"Gnetum Simmen1996.unidsp.273",1,0,0
"Guatteria Simmen1996.unidsp.106",0,1,0
"Helicostylis pedunculata",0,1,0
"Heteropsis flexuosa",1,0,1
"Inga alata",0,0,1
"Inga alba",0,1,0
"Inga edulis",0,0,1
"Inga huberi",0,0,1
"Inga jenmanii",0,0,1
"Inga leiocalycina",0,0,1
"Inga paraensis",0,1,0
"Inga pezizifera",0,0,1
"Inga retinocarpa",0,0,1
"Inga Simmen1996.unidsp.244",0,0,1
"Inga Simmen1996.unidsp.824",0,0,1
"Inga Simmen1996.unidsp.910",0,0,1
"Iryanthera sagotiana",0,1,0
"Lacmellea floribunda",1,0,1
"Lacunaria jenmanii",0,0,1
"Laetia procera",1,0,0
"Lauraceae Simmen1996.unidsp.262",0,0,1
"Leonia glycycarpa",0,1,0
"Ludovia lancifolia",1,1,0
"Manilkara bidentata",1,1,1
"Manilkara huberi",1,1,0
"Manilkara Simmen1996.unidsp.613",0,0,1
"Maripa scandens",0,0,1
"Matayba Simmen1996.unidsp.510",0,1,0
"Maytenus Simmen1996.unidsp.228",0,0,1
"Mendoncia Simmen1996.unidsp.269",1,0,1
"Micrandra elata",0,0,1
"Micropholis egensis",0,0,1
"Micropholis guyanensis",1,1,0
"Micropholis longipedicellata",0,0,1
"Micropholis melinoniana",0,1,1
"Micropholis obscura",1,0,0
"Micropholis Simmen1996.unidsp.709",1,0,0
"Micropholis venulosa",0,1,0
"Moutabea aculeata",0,1,1
"Moutabea guianensis",0,1,0
"Ocotea Simmen1996.unidsp.510",0,1,0
"Ocotea tomentella",0,1,0
"Oenocarpus bataua",0,0,1
"Osteophloeum platyspermum",0,1,0
"Parahancornia fasciculata",1,1,0
"Passiflora crenata",0,0,1
"Paullinia capreolata",0,1,0
"Paullinia Simmen1996.unidsp.431",0,1,1
"Perebea guianensis",1,0,0
"Pourouma bicolor",0,0,1
"Pourouma mollis",0,0,1
"Pourouma Simmen1996.unidsp.69",0,1,0
"Pourouma tomentosa",0,0,1
"Pourouma villosa",0,0,1
"Pouteria ambelaniifolia",1,1,0
"Pouteria deliciosa",0,0,1
"Pouteria egregia",0,1,0
"Pouteria filipes",1,0,1
"Pouteria franciscana",0,0,1
"Pouteria guianensis",1,1,0
"Pouteria laevigata",0,1,0
"Pouteria Simmen1996.unidsp.613",1,1,0
"Pouteria torta",1,1,1
"Pradosia ptychandra",0,0,1
"Protium sagotianum",1,0,0
"Protium Simmen1996.unidsp.709",1,0,0
"Protium tenuifolium",1,1,0
"Sacoglottis cydonioides",0,1,0
"Sacoglottis guianensis",0,1,0
"Salacia Simmen1996.unidsp.274",0,1,1
"Salacia Simmen1996.unidsp.399",0,1,0
"Salacia Simmen1996.unidsp.405",1,0,0
"Salacia Simmen1996.unidsp.417",0,0,1
"Salacia Simmen1996.unidsp.430",0,0,1
"Salacia Simmen1996.unidsp.710",0,1,0
"Schefflera decaphylla",1,0,0
"Schefflera Simmen1996.unidsp.709",1,0,0
"Solanum Simmen1996.unidsp.158",1,0,1
"Stelestylis surinamensis",0,1,0
"Stenostomum acreanum",0,1,0
"Strychnos guianensis",0,1,0
"Strychnos Simmen1996.unidsp.476",0,1,1
"Strychnos Simmen1996.unidsp.633",0,0,1
"Swartzia Simmen1996.unidsp.240",0,1,0
"Swartzia Simmen1996.unidsp.296",0,1,0
"Tapirira guianensis",0,0,1
"Tapirira obtusa",1,1,0
"Tetragastris altissima",1,1,0
"Tetragastris panamensis",1,1,0
"Tetragastris Simmen1996.unidsp.1",0,1,0
"Theobroma subincanum",1,0,1
"Tontelea scandens",0,1,0
"Trattinnickia Simmen1996.unidsp.663",0,0,1
"Trichilia pallida",0,1,0
"Undetermined Simmen1996.unidsp.242",0,0,1
"Undetermined Simmen1996.unidsp.695",0,1,0
"Virola michelii",1,1,0
"Virola Simmen1996.unidsp.107",1,1,0
"Vitex Simmen1996.unidsp.725",0,1,0
