"","Artibeus jamaicensis","Enchisthenes hartii","Sturnira lilium"
"Cecropia telealba",8,36,9
"Piper Aguilar-Garavito2014.unidsp.2",0,0,2
"Solanum acerifolium",0,1,22
"Solanum aphyodendron",0,0,7
"Solanum ovalifolium",0,0,2
"Solanum undullata",3,4,19
