"","Alophoixus pallidus","Dicaeum chrysorrheum","Dicaeum minullum","Iole propinqua","Megalaima asiatica","Megalaima haemacephala","Megalaima virens","Pycnonotus aurigaster","Pycnonotus flaviventris","Pycnonotus jocosus"
"Ficus benjamina",1,0,0,0,1,1,1,0,1,1
"Ficus curtipes",1,1,1,0,1,0,1,1,0,1
"Ficus cyrtophylla",1,0,0,1,1,0,0,0,1,1
