"","Hylobates agilis","Presbytis melalophos","Symphalangus syndactylus"
"Unidentified Elder2013.unidsp.88",0,1,0
"Unidentified Elder2013.unidsp.89",0,1,0
"Unidentified Elder2013.unidsp.90",0,1,0
"Unidentified Elder2013.unidsp.91",1,0,0
"Unidentified Elder2013.unidsp.92",1,0,0
"Unidentified Elder2013.unidsp.93",0,1,1
"Unidentified Elder2013.unidsp.94",0,1,1
"Unidentified Elder2013.unidsp.95",1,1,1
"Unidentified Elder2013.unidsp.96",0,0,1
"Unidentified Elder2013.unidsp.97",1,0,0
"Vitex pinnata",1,0,1
"Xerospermum noronhianum",1,0,1
