"","Coccothraustes coccothraustes","Dendrocopos major","Erithacus rubecula","Luscinia luscinia","Parus major","Poecile palustris","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos"
"Euonymus europaeus",0,0,49,0,1,2,3,0,0,0
"Frangula alnus",0,0,6,0,0,0,21,4,0,0
"Prunus padus",27,2,4,3,0,1,7,8,126,42
"Rhamnus cathartica",0,0,10,0,0,0,0,0,0,0
"Ribes nigrum",0,0,2,0,0,0,3,0,0,0
"Ribes spicatum",0,0,2,0,0,0,15,3,9,9
"Sorbus aucuparia",0,0,2,0,0,0,60,0,29,2
"Viburnum opulus",0,0,1,0,0,0,4,0,0,0
