"","Artibeus jamaicensis","Carollia sowelli","Sturnira hondurensis","Sturnira parvidens"
"Ficus Hernandez-Montero2015.unidsp.757",1,0,0,0
"Lycianthes geminiflora",1,0,0,1
"Piper lapathifolium",0,1,2,0
"Solanum aphyodendron",0,1,3,0
"Unidentified Hernandez-Montero2015.unidsp.2",1,0,0,0
